Esp,Measures,Pzs.
6,1027x623,2
6,1044x671,6
6,1072x671,14
6,1125x2330,11
6,1125x750,5
6,1126x2285,1
6,1126x750,1
6,1130x2330,2
6,1130x750,2
6,1145x2325,1
6,1145x750,1
6,1152x2285,1
6,1152x2325,1
6,1152x2330,26
6,1152x750,18
6,1180x750,1
6,1524x2055,1
6,1524x750,1
6,726x623,3
6,744x671,5
6,771x671,27
6,781x2323,1
6,781x750,1
6,790x2150,10
6,791x2314,1
6,791x750,1
6,802x2315,1
6,802x750,1
6,825x2330,6
6,825x750,2
6,851x2314,1
6,851x2315,1
6,851x2323,1
6,851x2330,41
6,851x750,31
6,879x2330,6
6,879x750,10
